iter	Passed	Remaining
732	5835	2125
733	5843	2117
734	5851	2109
735	5858	2101
736	5866	2093
737	5874	2085
738	5882	2077
739	5890	2069
740	5898	2061
741	5906	2053
742	5914	2045
743	5922	2037
744	5930	2029
745	5938	2021
746	5946	2013
747	5953	2005
748	5962	1998
749	5970	1990
750	5978	1982
751	5986	1974
752	5994	1966
753	6002	1958
754	6010	1950
755	6017	1942
756	6025	1934
757	6033	1926
758	6041	1918
759	6049	1910
760	6056	1902
761	6064	1894
762	6072	1886
763	6083	1879
764	6092	1871
765	6102	1864
766	6110	1856
767	6118	1848
768	6125	1840
769	6133	1832
770	6141	1824
771	6149	1816
772	6156	1808
773	6164	1799
774	6172	1791
775	6180	1783
776	6188	1775
777	6196	1768
778	6204	1760
779	6212	1752
780	6220	1744
781	6227	1736
782	6235	1728
783	6243	1720
784	6251	1712
785	6259	1704
786	6267	1696
787	6275	1688
788	6283	1680
789	6290	1672
790	6298	1664
791	6306	1656
792	6314	1648
793	6322	1640
794	6330	1632
795	6338	1624
796	6345	1616
797	6353	1608
798	6361	1600
799	6368	1592
800	6376	1584
801	6384	1576
802	6392	1568
803	6400	1560
804	6407	1552
805	6415	1544
806	6423	1536
807	6431	1528
808	6438	1520
809	6446	1512
810	6454	1504
811	6462	1496
812	6470	1488
813	6478	1480
814	6485	1472
815	6493	1464
816	6502	1456
817	6512	1448
818	6520	1440
819	6527	1432
820	6535	1424
821	6543	1416
822	6550	1408
823	6558	1400
824	6566	1392
825	6574	1384
826	6581	1376
827	6589	1368
828	6597	1360
829	6605	1352
830	6612	1344
831	6620	1336
832	6628	1328
833	6636	1320
834	6643	1312
835	6651	1304
836	6659	1296
837	6667	1288
838	6675	1280
839	6682	1272
840	6690	1264
841	6699	1257
842	6706	1249
843	6714	1241
844	6722	1233
845	6730	1225
846	6738	1217
847	6746	1209
848	6753	1201
849	6761	1193
850	6769	1185
851	6777	1177
852	6785	1169
853	6793	1161
854	6800	1153
855	6808	1145
856	6816	1137
857	6824	1129
858	6832	1121
859	6840	1113
860	6848	1105
861	6856	1097
862	6863	1089
863	6871	1081
864	6879	1073
865	6887	1065
866	6894	1057
867	6902	1049
868	6910	1041
869	6918	1033
870	6926	1025
871	6933	1017
872	6941	1009
873	6950	1001
874	6958	994
875	6966	986
876	6974	978
877	6982	970
878	6989	962
879	6997	954
880	7005	946
881	7013	938
882	7021	930
883	7028	922
884	7036	914
885	7044	906
886	7052	898
887	7060	890
888	7067	882
889	7075	874
890	7083	866
891	7090	858
892	7098	850
893	7106	842
894	7114	834
895	7122	826
896	7130	818
897	7138	810
898	7145	802
899	7153	794
900	7161	786
901	7168	778
902	7176	770
903	7184	762
904	7192	754
905	7200	747
906	7208	739
907	7216	731
908	7224	723
909	7232	715
910	7240	707
911	7248	699
912	7255	691
913	7263	683
914	7271	675
915	7279	667
916	7287	659
917	7295	651
918	7302	643
919	7311	635
920	7319	627
921	7326	619
922	7334	611
923	7342	603
924	7350	595
925	7358	588
926	7366	580
927	7374	572
928	7382	564
929	7390	556
930	7398	548
931	7406	540
932	7413	532
933	7421	524
934	7429	516
935	7436	508
936	7444	500
937	7452	492
938	7460	484
939	7467	476
940	7475	468
941	7483	460
942	7491	452
943	7499	444
944	7507	436
945	7515	428
946	7523	421
947	7530	413
948	7538	405
949	7546	397
950	7553	389
951	7561	381
952	7569	373
953	7577	365
954	7584	357
955	7592	349
956	7600	341
957	7608	333
958	7616	325
959	7624	317
960	7632	309
961	7640	301
962	7647	293
963	7655	285
964	7663	277
965	7671	270
966	7679	262
967	7686	254
968	7694	246
969	7702	238
970	7710	230
971	7717	222
972	7725	214
973	7733	206
974	7741	198
975	7749	190
976	7757	182
977	7764	174
978	7772	166
979	7780	158
980	7788	150
981	7796	142
982	7803	134
983	7812	127
984	7819	119
985	7827	111
986	7835	103
987	7843	95
988	7851	87
989	7858	79
990	7866	71
991	7874	63
992	7882	55
993	7889	47
994	7897	39
995	7905	31
996	7913	23
997	7921	15
998	7929	7
999	7937	0
